0,1,2,Its day 2 of the zombie outbreak Its finally reached you in Biggin Hill your neighbors have been infected so you decide to make a brake for it., Where do you go?, 1. Go towards the main road for supplies, 2. head off across the countryside away from the zombies
1,4,5,You reach a roundabout at the bottom of a hill ,Which way do you go?, 1. Left towards New Addington, 2. Right. up the hill towards the Main Road 
2,3,6,You reach the fields behind your house no zombies in sight ,What do you do? ,1. Make camp and wait for night to move., 2. Continue on south in hopes of getting far away from potential zombies.
3,-1,-1,You make camp just off the path then suddenly an angry farmer shoots you with his shotgun.,What did you expect really it was his kingdom now that the government has collapsed., Press 1 to return to the start, Press 2 to return to the start.
4,7,8,You make it to a junction at the bottom of a valley but zombies arent far behind.,Which way do you go?, 1. Left towards New Addington, 2. Right up the hill towards the Airport
5,9,10,You get halfway up the hill but ahead you see a gaggle of zombie doctors.,How do you handle this?, 1. run up the path to your left to avoid them, 2. Take them head on they are only doctors anyway
6,11,12,After an hour of walking you reach Clacket Lane services abandonned cars are scattered all over the place.,Whats the move Captain?, 1. Take the closet car to you and drive out of here., 2. just keep walking a car will draw too much attention.
7,13,32,As you enter you see a menacing gang of roadmen gathered outside the secondary school.,What is the plan?, 1.Charge at them pretending to be a lunatic., 2. surrender yourself to them due to their superior strength and combat experience. 
8,14,15,you manage to get up to the airport it took you a while but you managed.,What do you do?, 1. Break into the air cadet base for supplies., 2. Break into the airport and steal a plane.
9,8,16,You make a swift detour up this little side road ,Where do you go now?, 1.Make your way to the Airport., 2. Search the shops for supplies 
10,17,18,as you walk up the hill towards them they start charging you realise you have no weapon ,You glance to the side and see an apple and a stick on the floor which one do you pick? ,1. The Stick , 2.  The Apple.
11,19,20,You steal one of the abandoned car its nice you pause for a second realising that the owner of this car is probably dead you shed a single tear.,After your momentary influx of emotions you compose yourself what now?, 1. Use the motorways of course at no greater than 70mph, 2. Go on down the county lanes. 
12,21,30,you keep walking but it starts to get dark and your feet are killing you.,What do you do, 1. Settle down for the night in a picturesqe area., 2. NO keep walking frodo never complained about walking all day and he had a ring of power round his neck.
